,NetID,Last Name,First Name,Email Address,Ceiling Score,Final Grade
0,ara97741,Adams,Amy,amy.adams@univ.edu,75.0,C
1,cxa22039,Allen,Christina,christina.allen@univ.edu,79.0,C
2,dma58910,Anderson,Daisy,daisy.anderson@univ.edu,71.0,C
3,lba53221,Anderson,Lauren,lauren.anderson@univ.edu,74.0,C
4,bmb94857,Bailey,Belinda,belinda.bailey@univ.edu,79.0,C
5,lxb98047,Baldwin,Lucas,lucas.baldwin@univ.edu,82.0,B
6,wxb12345,Barrera,Woody,woody.barrera_jr@univ.edu,75.0,C
7,nsb43944,Bates,Nathan,nathan.bates@univ.edu,77.0,C
8,jxb40799,Bauer,John,john.bauer@univ.edu,77.0,C
9,djb29817,Beck,David,david.beck@univ.edu,67.0,D
10,rjb91830,Bennett,Richard,richard.bennett@univ.edu,79.0,C
11,mxb67936,Benton,Michael,michael.benton@univ.edu,77.0,C
12,vkb66346,Boyd,Victoria,victoria.boyd@univ.edu,73.0,C
13,lmb95641,Brock,Lauren,lauren.brock@univ.edu,81.0,B
14,ksb85997,Brown,Kelsey,kelsey.brown@univ.edu,79.0,C
15,bxb28023,Bryan,Bradley,bradley.bryan@univ.edu,78.0,C
16,cxc08121,Campbell,Charles,charles.campbell@univ.edu,84.0,B
17,lxc64780,Carter,Lorraine,lorraine.carter@univ.edu,78.0,C
18,sxc85021,Cervantes,Scott,scott.cervantes@univ.edu,79.0,C
19,jgc21028,Clark,Jill,jill.clark@univ.edu,78.0,C
20,amc28428,Cooper,Adam,adam.cooper@univ.edu,78.0,C
21,axc64717,Curry,Alec,alec.curry@univ.edu,81.0,B
22,wad63934,Daniel,William,william.daniel@univ.edu,77.0,C
23,axd11293,Daniels,Amber,amber.daniels@univ.edu,81.0,B
24,lxd16906,Davidson,Luke,luke.davidson@univ.edu,74.0,C
25,djd31335,Delgado,Desiree,desiree.delgado@univ.edu,69.0,D
26,cxd92501,Dennis,Cameron,cameron.dennis@univ.edu,67.0,D
27,rxd55884,Dennis,Rachel,rachel.dennis@univ.edu,75.0,C
28,rxd29805,Douglas,Robert,robert.douglas@univ.edu,76.0,C
29,eed42850,Dudley,Emily,emily.dudley@univ.edu,73.0,C
30,exd72538,Duffy,Erin,erin.duffy@univ.edu,78.0,C
31,axd31221,Dunlap,Angela,angela.dunlap@univ.edu,76.0,C
32,axd67070,Dunn,Amy,amy.dunn@univ.edu,80.0,B
33,nxe44872,Edwards,Nicole,nicole.edwards@univ.edu,78.0,C
34,tce09928,Edwards,Timothy,timothy.edwards@univ.edu,69.0,D
35,rge65208,Elliott,Richard,richard.elliott@univ.edu,77.0,C
36,pxe53402,Evans,Patricia,patricia.evans@univ.edu,73.0,C
37,kxf45205,Faulkner,Katelyn,katelyn.faulkner@univ.edu,75.0,C
38,bcf26283,Flores,Brandon,brandon.flores@univ.edu,78.0,C
39,rcf61653,Flores,Russell,russell.flores@univ.edu,81.0,B
40,jgf12345,Flower,Gregg,john.g.2.flower@univ.edu,73.0,C
41,axf16145,Foster,Ashlee,ashlee.foster@univ.edu,80.0,B
42,txf41578,Foster,Tommy,tommy.foster@univ.edu,73.0,C
43,llf55044,Friedman,Linda,linda.friedman@univ.edu,73.0,C
44,dsg54218,Garcia,Desiree,desiree.garcia@univ.edu,76.0,C
45,jag55224,Garza,Jessica,jessica.garza@univ.edu,77.0,C
46,hxg56446,Glover,Heidi,heidi.glover@univ.edu,73.0,C
47,mjg41514,Gonzalez,Matthew,matthew.gonzalez@univ.edu,76.0,C
48,smg03171,Good,Sherry,sherry.good@univ.edu,73.0,C
49,lxg35058,Gordon,Lori,lori.gordon@univ.edu,79.0,C
50,bjg14618,Graham,Benjamin,benjamin.graham@univ.edu,73.0,C
51,abg77872,Greer,April,april.greer@univ.edu,80.0,B
52,cxg21963,Guzman,Cynthia,cynthia.guzman@univ.edu,73.0,C
53,jlh15029,Harris,John,john.harris@univ.edu,86.0,B
54,cxh80084,Hart,Colleen,colleen.hart@univ.edu,70.0,C
55,thh29195,Hernandez,Taylor,taylor.hernandez@univ.edu,80.0,B
56,chh70562,Holt,Crystal,crystal.holt@univ.edu,78.0,C
57,edh14938,Houston,Emily,emily.houston@univ.edu,78.0,C
58,bch39598,Hunt,Brett,brett.hunt@univ.edu,79.0,C
59,mjj83180,James,Margaret,margaret.james@univ.edu,81.0,B
60,dxj78877,Johnson,Dylan,dylan.johnson@univ.edu,74.0,C
61,jxj82678,Johnson,Jamie,jamie.johnson@univ.edu,82.0,B
62,pmj37756,Johnson,Paul,paul.johnson@univ.edu,80.0,B
63,smj00936,Johnson,Stacy,stacy.johnson@univ.edu,77.0,C
64,txj17476,Johnson,Tara,tara.johnson@univ.edu,80.0,B
65,rsj94156,Johnston,Robert,robert.johnston@univ.edu,74.0,C
66,dcj14616,Jones,Daniel,daniel.jones@univ.edu,72.0,C
67,mxj54725,Jones,Michele,michele.jones@univ.edu,73.0,C
68,sxj49423,Jones,Sarah,sarah.jones@univ.edu,83.0,B
69,txj12345,Joyce,Traci,traci.joyce@univ.edu,72.0,C
70,pmk49230,King,Paige,paige.king@univ.edu,84.0,B
71,mxl12345,Lambert,Malaika,malaika.lambert@univ.edu,80.0,B
72,dsl24347,Lee,Danielle,danielle.lee@univ.edu,75.0,C
73,mxl67812,Lee,Michelle,michelle.lee@univ.edu,80.0,B
74,tgl37922,Leon,Tammy,tammy.leon@univ.edu,78.0,C
75,axl60952,Lester,Aaron,aaron.lester@univ.edu,71.0,C
76,msl77920,Lopez,Mark,mark.lopez@univ.edu,77.0,C
